"","LEGEND"
"","Legend for tab 'CyTOF Analysis'"
"","Assay run id","String","User defined unique identifier for this assay run. Not necessarily unique across batches."
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Batch id","String","CyTOF batch identification number. Unique to every batch."
"","Astrolabe reports","String","Path to file, relative to the intake bucket."
"","Astrolabe analysis","String","Path to file, relative to the intake bucket."
"","Control files package","String","Path to file, relative to the intake bucket."
"","Section 'Astrolabe Runs' of tab 'CyTOF Analysis'"
"","Cimac id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}[A-Z0-9]{2}.[0-9]{2}$ ","Specimen identifier assigned by the CIMAC-CIDC Network. Formatted as CTTTPPPSS.AA for trial code TTT, participant PPP, sample SS, and aliquot AA.","E.g. 'CTTTP01A1.00'"
"","Fcs file","String","Path to file, relative to the intake bucket."
"","Assignment","String","Path to file, relative to the intake bucket."
"","Compartment","String","Path to file, relative to the intake bucket."
"","Profiling","String","Path to file, relative to the intake bucket."
"","Cell counts assignment","String","Path to file, relative to the intake bucket."
"","Cell counts compartment","String","Path to file, relative to the intake bucket."
"","Cell counts profiling","String","Path to file, relative to the intake bucket."
"","Legend for tab 'Excluded Samples'"
"","Section 'Samples Excluded From Analysis' of tab 'Excluded Samples'"
"","Cimac id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}[A-Z0-9]{2}.[0-9]{2}$ ","Specimen identifier assigned by the CIMAC-CIDC Network. Formatted as CTTTPPPSS.AA for trial code TTT, participant PPP, sample SS, and aliquot AA.","E.g. 'CTTTP01A1.00'"
"","Reason","String","A comment describing why this sample is missing from the pipeline output."
