"","LEGEND"
"","Legend for tab 'Acquisition and Preprocessing'"
"","Assay run id","String","User defined unique identifier for this assay run. Not necessarily unique across batches."
"","Batch id","String","CyTOF batch identification number. Unique to every batch."
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Assay creator","Enum","Indicates what site is filling out the assay.","E.g. 'DFCI'"
"","Instrument","String","Name of CyTOF instrument on which experiment was conducted."
"","Injector","String","Name of Injector component used as part of the CyTOF software"
"","Date of acquisition","String","Date of CyTOF batch acquisition."
"","Acquisition buffer","String","Cell staining buffer used for antibody and cell dilution."
"","Bead removal","Boolean","Boolean to indicate whether beads have been removed after normalization process"
"","Normalization method","Enum","Process used for normalization prior to analysis, if any.","E.g. 'Fluidigm'"
"","Debarcoding protocol","String","The strategy/kit used to barcode CyTOF samples, if any"
"","Harware version","String","Version no. of instrument hardware used."
"","Concatenated spike in fcs filename","String","Path to a file on a User's computer. 
This file contains the normalized & debarcoded spike-in for a batch."
"","Concatenated raw fcs filename(s)","String","Path to file, relative to the intake bucket."
"","Section 'Run info' of tab 'Acquisition and Preprocessing'"
"","Cimac id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}[A-Z0-9]{2}.[0-9]{2}$ ","Specimen identifier assigned by the CIMAC-CIDC Network. Formatted as CTTTPPPSS.AA for trial code TTT, participant PPP, sample SS, and aliquot AA.","E.g. 'CTTTP01A1.00'"
"","Section 'Preprocessing' of tab 'Acquisition and Preprocessing'"
"","Processed fcs filename","String","Path to file, relative to the intake bucket."
"","Concatenation version","String","Concatenation of FCS files into a single FCS version number."
"","Normalization version","String","Version of normalization for CyTOF assay batch."
"","Preprocessing_notes","String","Any notes pertaining to preprocessing of CyTOF data."
"","Legend for tab 'Antibody Information'"
"","Section 'Samples' of tab 'Antibody Information'"
"","Target","String","Antibody type collected for this study."
"","Clone","String","Resulting type of antibody clone from primary antibody sample."
"","Antibody company","String","Company from which antibody sample was derived."
"","Catalog number","String","Antibody registry catalog number assigned to antibody sample."
"","Lot number","String","Identification number assigned to the particular quantity or lot of material from manufacturer."
"","Isotope","String","Antibody isotype used to help differentiate antibody signals."
"","Dilution","String","Concentration ratio of dilution buffer for primary antibody."
"","Stain_type","Enum","Type of staining method used for antibody.","E.g. 'Surface Stain'"
"","Usage","Enum","How this antibody should be used in automatic analysis","E.g. 'Ignored'"
"","Legend for tab 'Controls and Spike-Ins'"
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Section 'Controls info' of tab 'Controls and Spike-Ins'"
"","Control name","String","Name or identifier of a control sample."
"","Cimac participant id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}$ ","Participant identifier assigned by the CIMAC-CIDC Network. Formated as: CTTTPPP for trial code TTT and participant PPP (first 7 characters of CIMAC ID).","E.g. 'CTTTP01'"
"","Processed fcs filename","String","Path to file, relative to the intake bucket."
"","Spike-in fcs filename","String","Path to the spike-in file on a User's computer."
"","Concatenation version","String","Concatenation of FCS files into a single FCS version number."
"","Normalization version","String","Version of normalization for CyTOF assay batch."
"","Legend for tab 'Barcoding'"
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Batch id","String","CyTOF batch identification number. Unique to every batch."
"","Debarcoding key file","String","Path to a file on a User's computer. 
This contains the master debarcoding key in a CSV file."
"","Section 'Barcodes' of tab 'Barcoding'"
"","Id (cimac id/participant id/control name)","String","CIMAC ID, Participant ID or Control sample for which barcode is assigned."
"","Barcode number","String","Barcode number"
"","Debarcoding key","String","Debarcoding key assigned"
