"","LEGEND"
"","Legend for tab 'MIBI'"
"","Protocol identifier","String","Trial identifier used by lead organization, ie. Center for Experimental Therapeutics Program (CTEP) ID or Industry Sponsored ID.  This is usually a short identifier. Example: E4412."
"","Batch id","String","Batch identification number. Unique to every batch."
"","Assay creator","Enum","Indicates what site is filling out the assay.","E.g. 'DFCI'"
"","Folder","String"
"","Metadata tsv","String","Path to file, relative to the intake bucket."
"","Section 'Samples' of tab 'MIBI'"
"","Cimac id","String: regex ^C[A-Z0-9]{3}[A-Z0-9]{3}[A-Z0-9]{2}.[0-9]{2}$ ","Specimen identifier assigned by the CIMAC-CIDC Network. Formatted as CTTTPPPSS.AA for trial code TTT, participant PPP, sample SS, and aliquot AA.","E.g. 'CTTTP01A1.00'"
"","Roi id","String","Identifier of a region of interest within one mIF slide, e.g. 1, 2, 3 or [123x321]"
"","Dataset","String"
"","Roi description","String","A text description of this ROI. Eg: decidua"
"","Comment","String","A text comment regarding this slide."
"","Legend for tab 'Antibodies'"
"","Section 'Antibodies' of tab 'Antibodies'"
"","Channel id","String","the ID as listed in channel_names files and used in the OME tiffs"
"","Antibody name","String","Antibody type collected for this study."
"","Scicrunch rrid","String","the antibody's Research Resource Identifier from SciCrunch"
"","Uniprot accession number","String","the UniProt accession number of the target protein"
"","Lot number","String","Identification number assigned to the particular quantity or lot of material from manufacturer."
"","Dilution","String","the final working dilution of the stock antibody"
"","Concentration value","Number","the numeric value of the antibody concentration"
"","Concentration units","String","the units of the concentration value"
"","Conjugated catalog number","String","Antibody registry catalog number assigned to antibody sample."
"","Conjugated tag","String","the tag to which the antibody is conjugated and used for detection"
